Athlete_Name,Total_Points,100m,Long_Jump,Shot_Put,High_Jump,400m,110m_Hurdles,Pole_Vault,Discus,Javelin,1500m,Source_URL
Evan Siegel,4911,11.05,5.94,12.19,1.68,51.36,15.39,0,26.63,36.08,0.0,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Sam James,4764,11.28,6.07,10.29,1.89,53.71,0.0,3.20,22.91,38.46,340.2,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Sebastian Twohey-Jacobs,4706,11.04,6.03,7.22,1.59,53.96,17.18,3.00,22.61,26.09,348.25,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Timothy Hubers,4405,11.65,5.50,9.32,1.50,52.77,0.0,3.20,24.97,31.89,296.62,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Ben Barton,7998,10.57,7.17,13.65,2.04,46.85,14.18,4.30,41.47,52.27,276.49,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Callum Newby,7867,10.96,7.46,12.93,2.01,48.63,14.5,5.00,40.15,49.09,284.33,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Ryan Gregory,7810,10.74,7.18,12.35,1.98,48.66,15.02,4.50,39.21,58.71,266.21,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Carter Morton,7782,10.98,7.68,13.03,2.10,50.07,14.79,4.60,38.57,53.04,288.85,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Aiden Carter,7497,10.83,7.53,13.14,1.95,49.76,14.03,4.70,33.38,47.28,305.85,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Javin Richards,7203,10.9,6.79,11.97,1.83,48.22,15.94,5.20,32.71,48.70,293.14,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Kercher Herring,7172,11.05,7.09,11.90,1.83,50.01,15.76,4.90,35.77,50.97,293.44,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Pierre Douat,7153,11.04,7.18,13.34,1.83,50.39,15.84,4.80,33.51,48.06,291.04,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Mark Burdin,7122,11.18,6.99,14.30,1.86,52.09,15.22,4.40,40.70,47.84,301.22,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Casey Tow,6684,11.5,6.40,12.62,1.86,50.92,16.88,4.30,35.60,50.90,286.01,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Nick Bianco,6488,11.14,6.89,12.12,1.89,49.23,14.49,0,38.96,44.38,286.53,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Colby Eddowes,6203,10.85,7.24,12.26,2.01,49.18,13.7,0,37.36,45.65,0.0,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Paul Olson,5842,10.84,7.03,12.71,2.04,48.53,15.17,0,33.60,36.02,0.0,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Milo Orona,5616,11.19,6.66,12.70,1.89,50.33,16.56,0,35.36,55.32,0.0,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
